card_id,pname,set_name,is_custom,image_url,generation,release_date,rarity,pokemon_type,subtype,hp,level,flavour_text
base1-33,Kakuna,Base,False,https://images.pokemontcg.io/base1/33_hires.png,Base,1/9/1999,Uncommon,['Grass'],['Stage 1'],80,23,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
base1-34,Machoke,Base,False,https://images.pokemontcg.io/base1/34_hires.png,Base,1/9/1999,Uncommon,['Fighting'],['Stage 1'],80,40,Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.
base1-35,Magikarp,Base,False,https://images.pokemontcg.io/base1/35_hires.png,Base,1/9/1999,Uncommon,['Water'],['Basic'],30,8,"In the distant past, it was stronger than its horribly weak descendants that exist today."
base1-36,Magmar,Base,False,https://images.pokemontcg.io/base1/36_hires.png,Base,1/9/1999,Uncommon,['Fire'],['Basic'],50,24,Its body always burns with an orange glow that enables it to hide perfectly among flames.
base1-37,Nidorino,Base,False,https://images.pokemontcg.io/base1/37_hires.png,Base,1/9/1999,Uncommon,['Grass'],['Stage 1'],60,25,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
base1-38,Poliwhirl,Base,False,https://images.pokemontcg.io/base1/38_hires.png,Base,1/9/1999,Uncommon,['Water'],['Stage 1'],60,28,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
base1-39,Porygon,Base,False,https://images.pokemontcg.io/base1/39_hires.png,Base,1/9/1999,Uncommon,['Colorless'],['Basic'],30,12,A Pokémon that consists entirely of programming code. Capable of moving freely in cyberspace.
base1-40,Raticate,Base,False,https://images.pokemontcg.io/base1/40_hires.png,Base,1/9/1999,Uncommon,['Colorless'],['Stage 1'],60,41,It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.
base1-41,Seel,Base,False,https://images.pokemontcg.io/base1/41_hires.png,Base,1/9/1999,Uncommon,['Water'],['Basic'],60,12,The protruding horn on its head is very hard. This horn is used for bashing through thick ice.
base1-42,Wartortle,Base,False,https://images.pokemontcg.io/base1/42_hires.png,Base,1/9/1999,Uncommon,['Water'],['Stage 1'],70,22,"Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance."
base1-43,Abra,Base,False,https://images.pokemontcg.io/base1/43_hires.png,Base,1/9/1999,Common,['Psychic'],['Basic'],30,10,"Using its ability to read minds, it will identify impending danger and teleport to safety."
base1-44,Bulbasaur,Base,False,https://images.pokemontcg.io/base1/44_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],40,13,"A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon."
base1-45,Caterpie,Base,False,https://images.pokemontcg.io/base1/45_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],40,13,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
base1-46,Charmander,Base,False,https://images.pokemontcg.io/base1/46_hires.png,Base,1/9/1999,Common,['Fire'],['Basic'],50,10,"Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail."
base1-47,Diglett,Base,False,https://images.pokemontcg.io/base1/47_hires.png,Base,1/9/1999,Common,['Fighting'],['Basic'],30,8,"Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground."
base1-48,Doduo,Base,False,https://images.pokemontcg.io/base1/48_hires.png,Base,1/9/1999,Common,['Colorless'],['Basic'],50,10,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
base1-49,Drowzee,Base,False,https://images.pokemontcg.io/base1/49_hires.png,Base,1/9/1999,Common,['Psychic'],['Basic'],50,10,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams."
base1-50,Gastly,Base,False,https://images.pokemontcg.io/base1/50_hires.png,Base,1/9/1999,Common,['Psychic'],['Basic'],30,8,"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice."
base1-51,Koffing,Base,False,https://images.pokemontcg.io/base1/51_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],50,13,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
base1-52,Machop,Base,False,https://images.pokemontcg.io/base1/52_hires.png,Base,1/9/1999,Common,['Fighting'],['Basic'],50,20,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
base1-53,Magnemite,Base,False,https://images.pokemontcg.io/base1/53_hires.png,Base,1/9/1999,Common,['Lightning'],['Basic'],40,13,Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.
base1-54,Metapod,Base,False,https://images.pokemontcg.io/base1/54_hires.png,Base,1/9/1999,Common,['Grass'],['Stage 1'],70,21,"It is vulnerable to attack because its shell is soft, exposing its weak and tender body."
base1-55,Nidoran ♂,Base,False,https://images.pokemontcg.io/base1/55_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],40,20,"Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom."
base1-56,Onix,Base,False,https://images.pokemontcg.io/base1/56_hires.png,Base,1/9/1999,Common,['Fighting'],['Basic'],90,12,"As it grows, the stone portions of its body harden to become similar to a diamond, though colored black."
base1-57,Pidgey,Base,False,https://images.pokemontcg.io/base1/57_hires.png,Base,1/9/1999,Common,['Colorless'],['Basic'],40,8,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
base1-58,Pikachu,Base,False,https://images.pokemontcg.io/base1/58_hires.png,Base,1/9/1999,Common,['Lightning'],['Basic'],40,12,"When several of these Pokémon gather, their electricity can cause lightning storms."
base1-59,Poliwag,Base,False,https://images.pokemontcg.io/base1/59_hires.png,Base,1/9/1999,Common,['Water'],['Basic'],40,13,Its newly grown legs prevent it from running. It appears to prefer swimming over trying to stand.
base1-60,Ponyta,Base,False,https://images.pokemontcg.io/base1/60_hires.png,Base,1/9/1999,Common,['Fire'],['Basic'],40,10,Its hooves are 10 times harder than diamonds. It can trample anything flat in moments.
base1-61,Rattata,Base,False,https://images.pokemontcg.io/base1/61_hires.png,Base,1/9/1999,Common,['Colorless'],['Basic'],30,9,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
base1-62,Sandshrew,Base,False,https://images.pokemontcg.io/base1/62_hires.png,Base,1/9/1999,Common,['Fighting'],['Basic'],40,12,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
base1-63,Squirtle,Base,False,https://images.pokemontcg.io/base1/63_hires.png,Base,1/9/1999,Common,['Water'],['Basic'],40,8,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
base1-64,Starmie,Base,False,https://images.pokemontcg.io/base1/64_hires.png,Base,1/9/1999,Common,['Water'],['Stage 1'],60,28,Its central core glows with the seven colors of the rainbow. Some people value this core as a gem.
base1-65,Staryu,Base,False,https://images.pokemontcg.io/base1/65_hires.png,Base,1/9/1999,Common,['Water'],['Basic'],40,15,An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.
base1-66,Tangela,Base,False,https://images.pokemontcg.io/base1/66_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],50,8,Its whole body is swathed with wide vines that are similar to seaweed. These vines shake as it walks.
base1-67,Voltorb,Base,False,https://images.pokemontcg.io/base1/67_hires.png,Base,1/9/1999,Common,['Lightning'],['Basic'],40,10,"Usually found in power plants. Easily mistaken for a Monster Ball, it has zapped many people."
base1-68,Vulpix,Base,False,https://images.pokemontcg.io/base1/68_hires.png,Base,1/9/1999,Common,['Fire'],['Basic'],50,11,"At the time of birth, it has just one tail. Its tail splits from the tip as it grows older."
base1-69,Weedle,Base,False,https://images.pokemontcg.io/base1/69_hires.png,Base,1/9/1999,Common,['Grass'],['Basic'],40,12,"Often found in forests, eating leaves. It has a sharp, venomous stinger on its head."
base2-1,Clefable,Jungle,False,https://images.pokemontcg.io/base2/1_hires.png,Base,6/16/1999,Rare Holo,['Colorless'],['Stage 1'],70,34,A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.
base2-2,Electrode,Jungle,False,https://images.pokemontcg.io/base2/2_hires.png,Base,6/16/1999,Rare Holo,['Lightning'],['Stage 1'],90,42,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base2-3,Flareon,Jungle,False,https://images.pokemontcg.io/base2/3_hires.png,Base,6/16/1999,Rare Holo,['Fire'],['Stage 1'],70,28,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
base2-4,Jolteon,Jungle,False,https://images.pokemontcg.io/base2/4_hires.png,Base,6/16/1999,Rare Holo,['Lightning'],['Stage 1'],70,29,"It accumulates negative ions from the atmosphere to blast out 10,000-volt lightning bolts."
base2-5,Kangaskhan,Jungle,False,https://images.pokemontcg.io/base2/5_hires.png,Base,6/16/1999,Rare Holo,['Colorless'],['Basic'],90,40,The infant rarely ventures out of its mother's protective pouch until it is three years old.
base2-6,Mr. Mime,Jungle,False,https://images.pokemontcg.io/base2/6_hires.png,Base,6/16/1999,Rare Holo,['Psychic'],['Basic'],40,28,"If interrupted while miming, it will slap around the enemy with its broad hands."
base2-7,Nidoqueen,Jungle,False,https://images.pokemontcg.io/base2/7_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Stage 2'],90,43,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
base2-8,Pidgeot,Jungle,False,https://images.pokemontcg.io/base2/8_hires.png,Base,6/16/1999,Rare Holo,['Colorless'],['Stage 2'],80,40,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
base2-9,Pinsir,Jungle,False,https://images.pokemontcg.io/base2/9_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Basic'],60,24,"If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard."
base2-10,Scyther,Jungle,False,https://images.pokemontcg.io/base2/10_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Basic'],70,25,"With ninja-like agility and speed, it can create the illusion that there is more than one of it."
base2-11,Snorlax,Jungle,False,https://images.pokemontcg.io/base2/11_hires.png,Base,6/16/1999,Rare Holo,['Colorless'],['Basic'],90,20,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
base2-12,Vaporeon,Jungle,False,https://images.pokemontcg.io/base2/12_hires.png,Base,6/16/1999,Rare Holo,['Water'],['Stage 1'],80,42,Lives close to water. Its long tail is ridged with a fin that is often mistaken for a mermaid's.
base2-13,Venomoth,Jungle,False,https://images.pokemontcg.io/base2/13_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Stage 1'],70,28,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
base2-14,Victreebel,Jungle,False,https://images.pokemontcg.io/base2/14_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Stage 2'],80,42,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
base2-15,Vileplume,Jungle,False,https://images.pokemontcg.io/base2/15_hires.png,Base,6/16/1999,Rare Holo,['Grass'],['Stage 2'],80,35,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
base2-16,Wigglytuff,Jungle,False,https://images.pokemontcg.io/base2/16_hires.png,Base,6/16/1999,Rare Holo,['Colorless'],['Stage 1'],80,36,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
base2-17,Clefable,Jungle,False,https://images.pokemontcg.io/base2/17_hires.png,Base,6/16/1999,Rare,['Colorless'],['Stage 1'],70,34,A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.
base2-18,Electrode,Jungle,False,https://images.pokemontcg.io/base2/18_hires.png,Base,6/16/1999,Rare,['Lightning'],['Stage 1'],90,42,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base2-19,Flareon,Jungle,False,https://images.pokemontcg.io/base2/19_hires.png,Base,6/16/1999,Rare,['Fire'],['Stage 1'],70,28,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
base2-20,Jolteon,Jungle,False,https://images.pokemontcg.io/base2/20_hires.png,Base,6/16/1999,Rare,['Lightning'],['Stage 1'],70,29,"It accumulates negative ions from the atmosphere to blast out 10,000-volt lightning bolts."
base2-21,Kangaskhan,Jungle,False,https://images.pokemontcg.io/base2/21_hires.png,Base,6/16/1999,Rare,['Colorless'],['Basic'],90,40,The infant rarely ventures out of its mother's protective pouch until it is three years old.
base2-22,Mr. Mime,Jungle,False,https://images.pokemontcg.io/base2/22_hires.png,Base,6/16/1999,Rare,['Psychic'],['Basic'],40,28,"If interrupted while miming, it will slap around the enemy with its broad hands."
base2-23,Nidoqueen,Jungle,False,https://images.pokemontcg.io/base2/23_hires.png,Base,6/16/1999,Rare,['Grass'],['Stage 2'],90,43,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
base2-24,Pidgeot,Jungle,False,https://images.pokemontcg.io/base2/24_hires.png,Base,6/16/1999,Rare,['Colorless'],['Stage 2'],80,40,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
base2-25,Pinsir,Jungle,False,https://images.pokemontcg.io/base2/25_hires.png,Base,6/16/1999,Rare,['Grass'],['Basic'],60,24,"If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard."
base2-26,Scyther,Jungle,False,https://images.pokemontcg.io/base2/26_hires.png,Base,6/16/1999,Rare,['Grass'],['Basic'],70,25,"With ninja-like agility and speed, it can create the illusion that there is more than one of it."
base2-27,Snorlax,Jungle,False,https://images.pokemontcg.io/base2/27_hires.png,Base,6/16/1999,Rare,['Colorless'],['Basic'],90,20,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
base2-28,Vaporeon,Jungle,False,https://images.pokemontcg.io/base2/28_hires.png,Base,6/16/1999,Rare,['Water'],['Stage 1'],80,42,Lives close to water. Its long tail is ridged with a fin that is often mistaken for a mermaid's.
base2-29,Venomoth,Jungle,False,https://images.pokemontcg.io/base2/29_hires.png,Base,6/16/1999,Rare,['Grass'],['Stage 1'],70,28,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
base2-30,Victreebel,Jungle,False,https://images.pokemontcg.io/base2/30_hires.png,Base,6/16/1999,Rare,['Grass'],['Stage 2'],80,42,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
base2-31,Vileplume,Jungle,False,https://images.pokemontcg.io/base2/31_hires.png,Base,6/16/1999,Rare,['Grass'],['Stage 2'],80,35,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
base2-32,Wigglytuff,Jungle,False,https://images.pokemontcg.io/base2/32_hires.png,Base,6/16/1999,Rare,['Colorless'],['Stage 1'],80,36,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
base2-33,Butterfree,Jungle,False,https://images.pokemontcg.io/base2/33_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 2'],70,28,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
base2-34,Dodrio,Jungle,False,https://images.pokemontcg.io/base2/34_hires.png,Base,6/16/1999,Uncommon,['Colorless'],['Stage 1'],70,28,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
base2-35,Exeggutor,Jungle,False,https://images.pokemontcg.io/base2/35_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 1'],80,35,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute."
base2-36,Fearow,Jungle,False,https://images.pokemontcg.io/base2/36_hires.png,Base,6/16/1999,Uncommon,['Colorless'],['Stage 1'],70,27,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
base2-37,Gloom,Jungle,False,https://images.pokemontcg.io/base2/37_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 1'],60,35,The fluid that oozes from its mouth isn't drool; it is a nectar that is used to attract prey.
base2-38,Lickitung,Jungle,False,https://images.pokemontcg.io/base2/38_hires.png,Base,6/16/1999,Uncommon,['Colorless'],['Basic'],90,10,Its tongue can be extended like a chameleon's. It leaves a stinging sensation when it licks enemies.
base2-39,Marowak,Jungle,False,https://images.pokemontcg.io/base2/39_hires.png,Base,6/16/1999,Uncommon,['Fighting'],['Stage 1'],60,26,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to K.O. targets.
base2-40,Nidorina,Jungle,False,https://images.pokemontcg.io/base2/40_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 1'],70,24,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
base2-41,Parasect,Jungle,False,https://images.pokemontcg.io/base2/41_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 1'],60,28,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
base2-42,Persian,Jungle,False,https://images.pokemontcg.io/base2/42_hires.png,Base,6/16/1999,Uncommon,['Colorless'],['Stage 1'],70,25,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
base2-43,Primeape,Jungle,False,https://images.pokemontcg.io/base2/43_hires.png,Base,6/16/1999,Uncommon,['Fighting'],['Stage 1'],70,45,Always furious and tenacious to boot. It will not abandon chasing its quarry until its quarry is caught.
base2-44,Rapidash,Jungle,False,https://images.pokemontcg.io/base2/44_hires.png,Base,6/16/1999,Uncommon,['Fire'],['Stage 1'],70,33,"Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it."
base2-45,Rhydon,Jungle,False,https://images.pokemontcg.io/base2/45_hires.png,Base,6/16/1999,Uncommon,['Fighting'],['Stage 1'],100,48,"Protected by an armor-like hide, it is capable of living in molten lava of 3600 degrees."
base2-46,Seaking,Jungle,False,https://images.pokemontcg.io/base2/46_hires.png,Base,6/16/1999,Uncommon,['Water'],['Stage 1'],70,28,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
base2-47,Tauros,Jungle,False,https://images.pokemontcg.io/base2/47_hires.png,Base,6/16/1999,Uncommon,['Colorless'],['Basic'],60,24,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
base2-48,Weepinbell,Jungle,False,https://images.pokemontcg.io/base2/48_hires.png,Base,6/16/1999,Uncommon,['Grass'],['Stage 1'],70,28,"It spits out poisonpowder to immobilize the enemy, and then finishes the enemy with a spray of acid."
base2-49,Bellsprout,Jungle,False,https://images.pokemontcg.io/base2/49_hires.png,Base,6/16/1999,Common,['Grass'],['Basic'],40,11,A carnivorous Pokémon that traps and eats bugs. It uses its root feet to soak up needed moisture.
base2-50,Cubone,Jungle,False,https://images.pokemontcg.io/base2/50_hires.png,Base,6/16/1999,Common,['Fighting'],['Basic'],40,13,"Because it never removes its skull helmet, no one has ever seen this Pokémon's real face."
base2-51,Eevee,Jungle,False,https://images.pokemontcg.io/base2/51_hires.png,Base,6/16/1999,Common,['Colorless'],['Basic'],50,12,Its genetic code is irregular. It may mutate if it is exposed to radiation from elemental stones.
base2-52,Exeggcute,Jungle,False,https://images.pokemontcg.io/base2/52_hires.png,Base,6/16/1999,Common,['Grass'],['Basic'],50,14,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
base2-53,Goldeen,Jungle,False,https://images.pokemontcg.io/base2/53_hires.png,Base,6/16/1999,Common,['Water'],['Basic'],40,12,"Its tail fin billows like an elegant ballroom dress, giving it the nickname ""Water Queen."""
base2-54,Jigglypuff,Jungle,False,https://images.pokemontcg.io/base2/54_hires.png,Base,6/16/1999,Common,['Colorless'],['Basic'],60,14,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
base2-55,Mankey,Jungle,False,https://images.pokemontcg.io/base2/55_hires.png,Base,6/16/1999,Common,['Fighting'],['Basic'],30,7,"Extremely quick to anger. It could be docile one moment, then thrashing away the next."
base2-56,Meowth,Jungle,False,https://images.pokemontcg.io/base2/56_hires.png,Base,6/16/1999,Common,['Colorless'],['Basic'],50,15,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
base2-57,Nidoran ♀,Jungle,False,https://images.pokemontcg.io/base2/57_hires.png,Base,6/16/1999,Common,['Grass'],['Basic'],60,13,"Although small, its venomous barbs make this Pokémon dangerous. The female has smaller horns."
base2-58,Oddish,Jungle,False,https://images.pokemontcg.io/base2/58_hires.png,Base,6/16/1999,Common,['Grass'],['Basic'],50,8,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
base2-59,Paras,Jungle,False,https://images.pokemontcg.io/base2/59_hires.png,Base,6/16/1999,Common,['Grass'],['Basic'],40,8,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
base2-60,Pikachu,Jungle,False,https://images.pokemontcg.io/base2/60_hires.png,Base,6/16/1999,Common,['Lightning'],['Basic'],50,14,"When several of these Pokémon gather, their electricity can build and cause lightning storms."
base2-61,Rhyhorn,Jungle,False,https://images.pokemontcg.io/base2/61_hires.png,Base,6/16/1999,Common,['Fighting'],['Basic'],70,18,"Its massive bones are 1,000 times harder than human bones. It can easily knock a trailer flying."
base2-62,Spearow,Jungle,False,https://images.pokemontcg.io/base2/62_hires.png,Base,6/16/1999,Common,['Colorless'],['Basic'],50,13,Eats bugs in grassy areas. It has to flap its short wings at high speeds to stay airborne.
